"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
136,13,"A45","2019-01-28 02:53:37.995528","2019-01-28 02:53:37.995528",4,5,4
137,13,"A200","2019-01-28 02:53:38.023461","2019-01-28 02:53:38.023461",4,5,4
138,13,"C350e","2019-01-28 02:53:38.062142","2019-01-28 02:53:38.062142",1,5,4
139,13,"C300","2019-01-28 02:53:38.085828","2019-01-28 02:53:38.085828",1,5,4
140,13,"C43","2019-01-28 02:53:38.110278","2019-01-28 02:53:38.110278",1,5,4
141,13,"C63S","2019-01-28 02:53:38.134038","2019-01-28 02:53:38.134038",1,5,4
142,13,"GT","2019-01-28 02:53:38.159713","2019-01-28 02:53:38.159713",3,2,2
143,14,"CX-3","2019-01-28 02:53:38.212552","2019-01-28 02:53:38.212552",6,5,4
144,14,"BIANTE","2019-01-28 02:53:38.236508","2019-01-28 02:53:38.236508",5,8,4
145,14,"2","2019-01-28 02:53:38.260291","2019-01-28 02:53:38.260291",1,5,4
146,14,"2","2019-01-28 02:53:38.284719","2019-01-28 02:53:38.284719",4,5,4
147,14,"3","2019-01-28 02:53:38.308984","2019-01-28 02:53:38.308984",1,5,4
148,14,"3","2019-01-28 02:53:38.332785","2019-01-28 02:53:38.332785",4,5,4
149,14,"MX-5","2019-01-28 02:53:38.370568","2019-01-28 02:53:38.370568",2,2,2
150,14,"CX-9","2019-01-28 02:53:38.394545","2019-01-28 02:53:38.394545",6,7,4
151,15,"2008","2019-01-28 02:53:38.464298","2019-01-28 02:53:38.464298",6,5,4
152,15,"3008","2019-01-28 02:53:38.487712","2019-01-28 02:53:38.487712",6,5,4
153,15,"5008","2019-01-28 02:53:38.511957","2019-01-28 02:53:38.511957",6,7,4
154,15,"308","2019-01-28 02:53:38.535775","2019-01-28 02:53:38.535775",4,5,4
155,15,"208","2019-01-28 02:53:38.559171","2019-01-28 02:53:38.559171",4,5,4
158,17,"BENTAYGA","2019-01-28 02:53:38.655457","2019-01-28 02:53:38.655457",6,7,4
163,19,"XE","2019-01-28 02:53:38.788394","2019-01-28 02:53:38.788394",1,5,4
164,19,"XJ","2019-01-28 02:53:38.81211","2019-01-28 02:53:38.81211",1,5,4
166,19,"F-TYPE","2019-01-28 02:53:38.860029","2019-01-28 02:53:38.860029",6,5,4
167,19,"F-PACE","2019-01-28 02:53:38.883724","2019-01-28 02:53:38.883724",6,5,4
172,20,"URUS","2019-01-28 02:53:39.008926","2019-01-28 02:53:39.008926",6,5,4
173,21,"5 DOOR COOPER","2019-01-28 02:53:39.037646","2019-01-28 02:53:39.037646",4,5,4
174,21,"5 DOOR COOPER S","2019-01-28 02:53:39.061276","2019-01-28 02:53:39.061276",4,5,4
175,21,"5 DOORS","2019-01-28 02:53:39.085835","2019-01-28 02:53:39.085835",4,5,4
176,21,"3 DOOR COOPER","2019-01-28 02:53:39.110269","2019-01-28 02:53:39.110269",4,5,2
177,21,"3 DOORS","2019-01-28 02:53:39.134369","2019-01-28 02:53:39.134369",4,5,2
178,21,"COUNTRYMAN COOPER S","2019-01-28 02:53:39.158827","2019-01-28 02:53:39.158827",4,5,4
179,21,"COUNTRYMAN COOPER","2019-01-28 02:53:39.182469","2019-01-28 02:53:39.182469",4,5,4
196,24,"CAYMAN","2019-01-28 02:53:39.611734","2019-01-28 02:53:39.611734",2,2,2
197,24,"BOXTER","2019-01-28 02:53:39.636693","2019-01-28 02:53:39.636693",2,2,2
206,25,"BRZ","2019-01-28 02:53:39.85871","2019-01-28 02:53:39.85871",3,4,2
207,26,"POLO","2019-01-28 02:53:39.888259","2019-01-28 02:53:39.888259",4,5,4
208,26,"VENTO","2019-01-28 02:53:39.911962","2019-01-28 02:53:39.911962",1,5,4
209,26,"JETTA","2019-01-28 02:53:39.935694","2019-01-28 02:53:39.935694",1,5,4
210,26,"BEETLE","2019-01-28 02:53:39.960023","2019-01-28 02:53:39.960023",3,4,2
